2015-06-08 18:07:03,160 CONFIG [com.gigaspaces.logger] - Log file: /Users/dxd/git/ct3/logs/2015-06-08~18.07-gigaspaces-service-10.154.152.106-77023.log
-------------------------last log tuples start--------------------------------
Position [subject=a20, id=null, cell=Cell [x=2, y=0], time=2015-06-08 18:04:41.749, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=brown, time=2015-06-08 18:07:20.986, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=brown, time=2015-06-08 18:07:20.986, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=brown, time=2015-06-08 18:07:20.988, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=0], subject=blue, time=2015-06-08 18:07:20.988, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=brown, time=2015-06-08 18:07:20.988, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=yellow, time=2015-06-08 18:07:20.99, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=1], subject=yellow, time=2015-06-08 18:07:20.99, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=3], subject=blue, time=2015-06-08 18:07:20.938, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=white, time=2015-06-08 18:07:20.99, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=white, time=2015-06-08 18:07:20.992, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=white, time=2015-06-08 18:07:20.992, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=2], subject=white, time=2015-06-08 18:07:20.993, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=1], subject=yellow, time=2015-06-08 18:07:20.961, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=brown, time=2015-06-08 18:07:20.997, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=white, time=2015-06-08 18:07:20.999, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=5], subject=white, time=2015-06-08 18:07:20.941, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=2], subject=yellow, time=2015-06-08 18:07:20.961, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=yellow, time=2015-06-08 18:07:20.995, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=4], subject=yellow, time=2015-06-08 18:07:20.968, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=2], subject=white, time=2015-06-08 18:07:21.0, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=5], subject=white, time=2015-06-08 18:07:20.97, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=yellow, time=2015-06-08 18:07:21.001, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=0], subject=white, time=2015-06-08 18:07:20.972, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=4], subject=brown, time=2015-06-08 18:07:20.941, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=white, time=2015-06-08 18:07:21.001, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=brown, time=2015-06-08 18:07:20.971, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=blue, time=2015-06-08 18:07:21.002, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=1], subject=white, time=2015-06-08 18:07:20.978, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=blue, time=2015-06-08 18:07:21.005, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=yellow, time=2015-06-08 18:07:20.979, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=yellow, time=2015-06-08 18:07:21.005, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=brown, time=2015-06-08 18:07:20.982, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=blue, time=2015-06-08 18:07:21.007, clock=0]
org notification: Tile [id=null, cell=Cell [x=1, y=0], subject=yellow, time=2015-06-08 18:07:20.942, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=yellow, time=2015-06-08 18:07:21.007, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=2], subject=white, time=2015-06-08 18:07:20.982, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=brown, time=2015-06-08 18:07:21.009, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=yellow, time=2015-06-08 18:07:20.985, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=blue, time=2015-06-08 18:07:21.011, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=white, time=2015-06-08 18:07:20.985, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=blue, time=2015-06-08 18:07:21.011, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=brown, time=2015-06-08 18:07:20.986, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-06-08 18:07:21.012, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=4], subject=blue, time=2015-06-08 18:07:20.946, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=white, time=2015-06-08 18:07:21.013, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=brown, time=2015-06-08 18:07:20.986, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=brown, time=2015-06-08 18:07:21.014, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=brown, time=2015-06-08 18:07:20.988, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=white, time=2015-06-08 18:07:21.014, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=0], subject=blue, time=2015-06-08 18:07:20.988, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=blue, time=2015-06-08 18:07:21.016, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=brown, time=2015-06-08 18:07:21.017, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=brown, time=2015-06-08 18:07:20.988, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=white, time=2015-06-08 18:07:21.019, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=5], subject=brown, time=2015-06-08 18:07:20.942, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=yellow, time=2015-06-08 18:07:20.99, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=yellow, time=2015-06-08 18:07:21.021, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=brown, time=2015-06-08 18:07:21.022, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=1], subject=yellow, time=2015-06-08 18:07:20.99, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=brown, time=2015-06-08 18:07:21.025, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=white, time=2015-06-08 18:07:20.99, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=white, time=2015-06-08 18:07:21.026, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=white, time=2015-06-08 18:07:20.992, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=white, time=2015-06-08 18:07:21.024, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=yellow, time=2015-06-08 18:07:21.026, clock=0]
org notification: Tile [id=null, cell=Cell [x=1, y=1], subject=brown, time=2015-06-08 18:07:20.947, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=white, time=2015-06-08 18:07:21.027, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=blue, time=2015-06-08 18:07:21.027, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=yellow, time=2015-06-08 18:07:21.029, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=brown, time=2015-06-08 18:07:21.029, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=yellow, time=2015-06-08 18:07:21.03, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=brown, time=2015-06-08 18:07:21.031, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=brown, time=2015-06-08 18:07:21.032, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=yellow, time=2015-06-08 18:07:21.032, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=yellow, time=2015-06-08 18:07:21.033, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=white, time=2015-06-08 18:07:20.992, clock=0]
org notification: Tile [id=null, cell=Cell [x=1, y=0], subject=blue, time=2015-06-08 18:07:20.957, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=white, time=2015-06-08 18:07:21.035, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=brown, time=2015-06-08 18:07:21.037, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=brown, time=2015-06-08 18:07:21.038, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=yellow, time=2015-06-08 18:07:21.051, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=white, time=2015-06-08 18:07:21.049, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=2], subject=white, time=2015-06-08 18:07:20.993, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=blue, time=2015-06-08 18:07:21.057, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=brown, time=2015-06-08 18:07:20.997, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=blue, time=2015-06-08 18:07:21.057, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=white, time=2015-06-08 18:07:20.999, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=yellow, time=2015-06-08 18:07:20.995, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=2], subject=white, time=2015-06-08 18:07:21.0, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=blue, time=2015-06-08 18:07:21.057, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=yellow, time=2015-06-08 18:07:21.001, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=brown, time=2015-06-08 18:07:21.058, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=white, time=2015-06-08 18:07:21.001, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=yellow, time=2015-06-08 18:07:21.059, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=blue, time=2015-06-08 18:07:21.002, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=yellow, time=2015-06-08 18:07:21.06, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=blue, time=2015-06-08 18:07:21.005, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=white, time=2015-06-08 18:07:21.06, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=yellow, time=2015-06-08 18:07:21.005, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=blue, time=2015-06-08 18:07:21.06, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=blue, time=2015-06-08 18:07:21.059, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=blue, time=2015-06-08 18:07:21.007, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=yellow, time=2015-06-08 18:07:21.064, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=yellow, time=2015-06-08 18:07:21.007, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=brown, time=2015-06-08 18:07:21.009, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=yellow, time=2015-06-08 18:07:21.064, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=blue, time=2015-06-08 18:07:21.064, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=blue, time=2015-06-08 18:07:21.011, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=yellow, time=2015-06-08 18:07:21.065, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=brown, time=2015-06-08 18:07:21.066, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=blue, time=2015-06-08 18:07:21.011, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=brown, time=2015-06-08 18:07:21.066, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=yellow, time=2015-06-08 18:07:21.067, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=yellow, time=2015-06-08 18:07:21.068, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-06-08 18:07:21.012, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=blue, time=2015-06-08 18:07:21.069, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=white, time=2015-06-08 18:07:21.013, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-06-08 18:07:21.07, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=brown, time=2015-06-08 18:07:21.014, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=white, time=2015-06-08 18:07:21.071, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=white, time=2015-06-08 18:07:21.014, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-06-08 18:07:21.07, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=blue, time=2015-06-08 18:07:21.016, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=white, time=2015-06-08 18:07:21.071, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=brown, time=2015-06-08 18:07:21.017, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=blue, time=2015-06-08 18:07:21.072, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=blue, time=2015-06-08 18:07:21.074, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=white, time=2015-06-08 18:07:21.019, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=yellow, time=2015-06-08 18:07:21.074, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=yellow, time=2015-06-08 18:07:21.021, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=brown, time=2015-06-08 18:07:21.022, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=blue, time=2015-06-08 18:07:21.074, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=3], subject=white, time=2015-06-08 18:07:21.075, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=brown, time=2015-06-08 18:07:21.025, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=blue, time=2015-06-08 18:07:21.075, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=white, time=2015-06-08 18:07:21.026, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=brown, time=2015-06-08 18:07:21.077, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=white, time=2015-06-08 18:07:21.024, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=blue, time=2015-06-08 18:07:21.076, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=yellow, time=2015-06-08 18:07:21.026, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=blue, time=2015-06-08 18:07:21.077, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=white, time=2015-06-08 18:07:21.027, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=4], subject=yellow, time=2015-06-08 18:07:21.079, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=blue, time=2015-06-08 18:07:21.027, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=blue, time=2015-06-08 18:07:21.081, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=yellow, time=2015-06-08 18:07:21.029, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=brown, time=2015-06-08 18:07:21.029, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=5], subject=white, time=2015-06-08 18:07:21.082, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=yellow, time=2015-06-08 18:07:21.03, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=brown, time=2015-06-08 18:07:21.031, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=brown, time=2015-06-08 18:07:21.032, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=yellow, time=2015-06-08 18:07:21.032, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=white, time=2015-06-08 18:07:21.082, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=yellow, time=2015-06-08 18:07:21.033, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=white, time=2015-06-08 18:07:21.035, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=white, time=2015-06-08 18:07:21.082, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=brown, time=2015-06-08 18:07:21.082, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=brown, time=2015-06-08 18:07:21.037, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=white, time=2015-06-08 18:07:21.083, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=white, time=2015-06-08 18:07:21.084, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=brown, time=2015-06-08 18:07:21.084, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=brown, time=2015-06-08 18:07:21.086, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=blue, time=2015-06-08 18:07:21.087, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=3], subject=blue, time=2015-06-08 18:07:21.087, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=yellow, time=2015-06-08 18:07:21.088, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=white, time=2015-06-08 18:07:21.089, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=brown, time=2015-06-08 18:07:21.089, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=4], subject=blue, time=2015-06-08 18:07:21.09, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=yellow, time=2015-06-08 18:07:21.1, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=brown, time=2015-06-08 18:07:21.038, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=blue, time=2015-06-08 18:07:21.099, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=yellow, time=2015-06-08 18:07:21.051, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=5], subject=blue, time=2015-06-08 18:07:21.101, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=white, time=2015-06-08 18:07:21.049, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=white, time=2015-06-08 18:07:21.103, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=blue, time=2015-06-08 18:07:21.057, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=brown, time=2015-06-08 18:07:21.105, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=blue, time=2015-06-08 18:07:21.057, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=brown, time=2015-06-08 18:07:21.111, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=blue, time=2015-06-08 18:07:21.057, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=brown, time=2015-06-08 18:07:21.058, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=yellow, time=2015-06-08 18:07:21.113, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=yellow, time=2015-06-08 18:07:21.059, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=yellow, time=2015-06-08 18:07:21.06, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=yellow, time=2015-06-08 18:07:21.113, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=white, time=2015-06-08 18:07:21.06, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=yellow, time=2015-06-08 18:07:21.125, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=blue, time=2015-06-08 18:07:21.06, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=blue, time=2015-06-08 18:07:21.059, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=white, time=2015-06-08 18:07:21.149, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=yellow, time=2015-06-08 18:07:21.064, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=yellow, time=2015-06-08 18:07:21.064, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=3], subject=blue, time=2015-06-08 18:07:21.155, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=blue, time=2015-06-08 18:07:21.064, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=yellow, time=2015-06-08 18:07:21.065, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=4], subject=blue, time=2015-06-08 18:07:21.184, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=brown, time=2015-06-08 18:07:21.066, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=brown, time=2015-06-08 18:07:21.066, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=yellow, time=2015-06-08 18:07:21.067, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=yellow, time=2015-06-08 18:07:21.068, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=5], subject=brown, time=2015-06-08 18:07:21.187, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=blue, time=2015-06-08 18:07:21.069, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-06-08 18:07:21.07, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-06-08 18:07:21.07, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=white, time=2015-06-08 18:07:21.071, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=white, time=2015-06-08 18:07:21.071, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=blue, time=2015-06-08 18:07:21.072, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=blue, time=2015-06-08 18:07:21.074, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=yellow, time=2015-06-08 18:07:21.074, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=blue, time=2015-06-08 18:07:21.074, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=3], subject=white, time=2015-06-08 18:07:21.075, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=blue, time=2015-06-08 18:07:21.075, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=brown, time=2015-06-08 18:07:21.077, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=blue, time=2015-06-08 18:07:21.076, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=blue, time=2015-06-08 18:07:21.077, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=4], subject=yellow, time=2015-06-08 18:07:21.079, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=blue, time=2015-06-08 18:07:21.081, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=brown, time=2015-06-08 18:07:21.105, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=5], subject=white, time=2015-06-08 18:07:21.082, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=white, time=2015-06-08 18:07:21.082, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=white, time=2015-06-08 18:07:21.082, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=brown, time=2015-06-08 18:07:21.082, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=brown, time=2015-06-08 18:07:21.218, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=white, time=2015-06-08 18:07:21.083, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=white, time=2015-06-08 18:07:21.084, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=brown, time=2015-06-08 18:07:21.084, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=white, time=2015-06-08 18:07:21.22, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=brown, time=2015-06-08 18:07:21.086, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=blue, time=2015-06-08 18:07:21.087, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=3], subject=blue, time=2015-06-08 18:07:21.087, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=white, time=2015-06-08 18:07:21.223, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=yellow, time=2015-06-08 18:07:21.088, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=white, time=2015-06-08 18:07:21.089, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=brown, time=2015-06-08 18:07:21.089, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=4], subject=blue, time=2015-06-08 18:07:21.09, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=blue, time=2015-06-08 18:07:21.099, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=3], subject=blue, time=2015-06-08 18:07:21.225, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=yellow, time=2015-06-08 18:07:21.1, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=5], subject=blue, time=2015-06-08 18:07:21.101, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=white, time=2015-06-08 18:07:21.103, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=brown, time=2015-06-08 18:07:21.111, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=brown, time=2015-06-08 18:07:21.105, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=yellow, time=2015-06-08 18:07:21.113, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=4], subject=brown, time=2015-06-08 18:07:21.228, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=yellow, time=2015-06-08 18:07:21.113, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=yellow, time=2015-06-08 18:07:21.125, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=white, time=2015-06-08 18:07:21.149, clock=0]
